Player,Signing_Date,Cap_Hit
1. Sergei Bobrovsky,"Jul. 1, 2019","$10,000,000"
2. Andrei Vasilevskiy,"Jul. 29, 2019","$9,500,000"
3. John Gibson,"Aug. 4, 2018","$6,400,000"
4. Matt Murray,"Oct. 9, 2020","$6,250,000"
5. Connor Hellebuyck,"Jul. 12, 2018","$6,166,667"
6. Jordan Binnington,"Mar. 11, 2021","$6,000,000"
7. Jacob Markström,"Oct. 9, 2020","$6,000,000"
8. Philipp Grubauer,"Jul. 28, 2021","$5,900,000"
9. Jonathan Quick,"Jul. 1, 2012","$5,800,000"
10. Igor Shesterkin,"Aug. 9, 2021","$5,666,667"
11. Elvis Merzlikins,"Sep. 21, 2021","$5,400,000"
12. Darcy Kuemper,"Jul. 13, 2022","$5,250,000"
13. Jack Campbell,"Jul. 13, 2022","$5,000,000"
14. Juuse Saros,"Aug. 16, 2021","$5,000,000"
15. Linus Ullmark,"Jul. 28, 2021","$5,000,000"
16. Thatcher Demko,"Mar. 31, 2021","$5,000,000"
17. Semyon Varlamov,"Jul. 1, 2019","$5,000,000"
18. Ville Husso,"Jul. 8, 2022","$4,750,000"
19. Frederik Andersen,"Jul. 28, 2021","$4,500,000"
20. Jake Oettinger,"Sep. 1, 2022","$4,000,000"
21. Ilya Sorokin,"Sep. 1, 2021","$4,000,000"
22. Carter Hart,"Aug. 9, 2021","$3,979,000"
23. Petr Mrázek,"Jul. 28, 2021","$3,800,000"
24. Cam Talbot,"Oct. 9, 2020","$3,666,667"
25. Marc-André Fleury,"Jul. 7, 2022","$3,500,000"
26. Tristan Jarry,"October 3, 2020","$3,500,000"
27. Vitek Vanecek,"Jul. 19, 2022","$3,400,000"
28. Alexandar Georgiev,"Jul. 10, 2022","$3,400,000"
29. Jake Allen,"Oct. 14, 2020","$2,875,000"
30. Mackenzie Blackwood,"Dec. 23, 2020","$2,800,000"
31. Kaapo Kähkönen,"Jul. 18, 2022","$2,750,000"
32. Anton Forsberg,"March 21, 2022","$2,750,000"
33. Karel Vejmelka,"Mar. 21, 2022","$2,725,000"
34. James Reimer,"Jul. 28, 2021","$2,250,000"
35. Adin Hill,"Aug. 4, 2021","$2,175,000"
36. Martin Jones,"July 13, 2022","$2,000,000"
37. Antti Raanta,"Jul. 28, 2021","$2,000,000"
38. Ilya Samsonov,"Jul. 13, 2022","$1,800,000"
39. Casey DeSmith,"Jul. 5, 2022","$1,800,000"
40. Jaroslav Halák,"Jul. 13, 2022","$1,500,000"
41. Craig Anderson,"Jun. 30, 2022","$1,500,000"
42. Joonas Korpisalo,"May. 20, 2022","$1,300,000"
43. Thomas Greiss,"Jul. 13, 2022","$1,250,000"
44. Charlie Lindgren,"Jul. 13, 2022","$1,100,000"
45. Samuel Montembeault,"Jul. 18, 2022","$1,000,000"
46. Scott Wedgewood,"Jun. 30, 2022","$1,000,000"
47. Spencer Knight,"Mar. 31, 2021","$925,000"
48. Jeremy Swayman,"Mar. 18, 2020","$925,000"
49. David Rittich,"Jul. 13, 2022","$900,000"
50. Brian Elliott,"Apr. 15, 2022","$900,000"
51. Pyotr Kochetkov,"Apr. 30, 2021","$842,500"
52. Ukko-Pekka Luukkonen,"Aug. 31, 2022","$837,500"
53. Pheonix Copley,"Jul. 13, 2022","$825,000"
54. Filip Gustavsson,"Aug. 29, 2021","$787,500"
55. Felix Sandström,"Jun. 23, 2022","$775,000"
56. Logan Thompson,"Jan. 30, 2022","$766,667"
57. Spencer Martin,"Apr. 8, 2022","$762,500"
58. Collin Delia,"Jul. 13, 2022","$750,000"
59. Alex Stalock,"Jul. 13, 2022","$750,000"
60. Stuart Skinner,"Aug. 8, 2021","$750,000"
61. Daniel Vladar,"Aug. 23, 2020","$750,000"
62. Connor Ingram,"Mar. 23, 2020","$733,333"