"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"194","Johnny Gaudreau","CGY","L","82","1200.9666666667","26","46","37","9","72","75.00"
"466","Auston Matthews","TOR","C","73","1175.3833333333","38","28","16","12","66","75.00"
"464","Matthew Tkachuk","CGY","L","82","1181.7666666667","26","38","25","13","64","69.57"
"452","Kirill Kaprizov","MIN","L","81","1149.9166666667","25","37","26","11","62","83.78"
"435","Mitchell Marner","TOR","C, R","72","1054.9166666667","22","39","22","17","61","78.21"
"382","Michael Bunting","TOR","L","79","1095.05","21","37","22","15","58","65.91"
"402","Connor McDavid","EDM","C","80","1327.8166666667","22","36","24","12","58","79.45"
"83","Steven Stamkos","T.B","C","81","1072.1333333333","22","33","24","9","55","82.09"
"348","Leon Draisaitl","EDM","C","80","1284.7166666667","26","28","18","10","54","80.60"
"168","Vladimir Tarasenko","STL","R","75","976.56666666667","26","27","13","14","53","82.81"
"354","Kevin Fiala","MIN","L","82","1036.2","23","30","21","9","53","80.30"
"407","Timo Meier","S.J","R","77","1172.3166666667","20","33","18","15","53","82.81"
"545","Jason Robertson","DAL","L","74","1078.35","22","30","14","16","52","76.47"
"212","Jonathan Huberdeau","FLA","C, L","80","1009.15","17","33","19","14","50","76.92"
"309","Ryan Hartman","MIN","R","82","1119.8833333333","27","23","17","6","50","65.79"
"319","Nathan MacKinnon","COL","C","65","1034.0833333333","23","27","19","8","50","73.53"
"493","Jordan Kyrou","STL","C","74","1019.9666666667","22","28","22","6","50","83.33"
"501","Jesper Bratt","N.J","L","76","1033.1166666667","21","29","15","14","50","83.33"
"69","Patrick Kane","CHI","R","78","1298","15","34","23","11","49","75.38"
"297","Jake Guentzel","PIT","L","76","1156.8833333333","25","24","15","9","49","77.78"
"543","Robert Thomas","STL","C","72","1001.4166666667","12","37","24","13","49","69.01"
"15","Joe Pavelski","DAL","C","82","1162.4666666667","14","34","20","14","48","72.73"
"17","Alex Ovechkin","WSH","L","77","1128.55","24","24","14","10","48","73.85"
"94","Roman Josi","NSH","D","80","1570.5666666667","10","38","23","15","48","58.54"
"122","Nazem Kadri","COL","C","71","963.71666666667","16","32","22","10","48","80.00"
"305","Andre Burakovsky","COL","L","80","1100.8833333333","18","30","18","12","48","68.57"
"445","Artemi Panarin","NYR","L","75","1136.1833333333","13","35","23","12","48","85.71"
"118","Matt Duchene","NSH","C","78","1123.65","21","26","15","11","47","69.12"
"172","Jeff Skinner","BUF","L","80","1088.15","25","22","19","3","47","74.60"
"221","J.T. Miller","VAN","C","80","1152.4833333333","19","28","12","16","47","81.03"
"323","Elias Lindholm","CGY","C","82","1144.3166666667","25","22","11","11","47","55.29"
"355","Dylan Larkin","DET","C","71","1059.7333333333","22","25","17","8","47","81.03"
"450","Conor Garland","VAN","R","77","1075.6666666667","17","30","20","10","47","79.66"
"300","Carter Verhaeghe","FLA","C","78","1076.0666666667","21","25","14","11","46","77.97"
"399","Kyle Connor","WPG","L","79","1241.15","28","18","10","8","46","83.64"
"409","Mikko Rantanen","COL","R","75","1172.4833333333","17","29","17","12","46","54.12"
"505","Tage Thompson","BUF","R","78","1044.1","24","22","12","10","46","70.77"
"250","Filip Forsberg","NSH","L","69","932.31666666667","26","19","12","7","45","77.59"
"367","Ivan Barbashev","STL","C","81","1089.5666666667","17","28","19","9","45","75.00"
"277","Alexander Kerfoot","TOR","C","82","1055.5","11","32","16","16","43","68.25"
"347","Sam Reinhart","FLA","C","78","1006","14","29","19","10","43","68.25"
"364","David Pastrnak","BOS","R","72","992.88333333333","22","21","16","5","43","70.49"
"555","Cale Makar","COL","D","77","1464.3833333333","13","30","16","14","43","49.43"
"41","Brad Marchand","BOS","L","70","908.08333333333","18","24","14","10","42","80.77"
"151","Mats Zuccarello","MIN","C, R","70","983.83333333333","16","26","19","7","42","67.74"
"256","Chandler Stephenson","VGK","C","79","1137.7166666667","11","31","12","19","42","68.85"
"455","Troy Terry","ANA","C, R","75","1122.3166666667","23","19","9","10","42","77.78"
"296","Pavel Buchnevich","STL","L","73","983.71666666667","15","26","10","16","41","65.08"
"416","Travis Konecny","PHI","C, R","79","1082.1166666667","12","29","22","7","41","78.85"
"476","Clayton Keller","ARI","C, R","67","999.91666666667","18","23","14","9","41","73.21"
"579","Brady Tkachuk","OTT","L","79","1133.7833333333","15","26","20","6","41","73.21"
"175","Taylor Hall","BOS","L","81","1037.1166666667","10","30","19","11","40","67.80"
"224","Phillip Danault","L.A","C, L","79","1049.7666666667","24","16","7","9","40","75.47"
"351","William Nylander","TOR","C, R","81","1124.3","18","22","19","3","40","72.73"
"360","Nick Schmaltz","ARI","C","63","900.15","14","26","21","5","40","76.92"
"461","Mason Marchment","FLA","L","54","701.43333333333","15","25","11","14","40","78.43"
"610","Trevor Zegras","ANA","C","75","1066.2333333333","12","28","17","11","40","80.00"
"26","Sidney Crosby","PIT","C","69","1049.9833333333","15","24","16","8","39","70.91"
"116","John Tavares","TOR","C","79","1112.1833333333","15","24","11","13","39","68.42"
"215","Mika Zibanejad","NYR","C","81","1101.75","12","27","18","9","39","70.91"
"247","Tomas Hertl","S.J","C","82","1189.25","18","21","14","7","39","65.00"
"352","Nikolaj Ehlers","WPG","L","62","911.41666666667","20","19","14","5","39","70.91"
"473","Alex DeBrincat","CHI","L","82","1256.6666666667","18","21","10","11","39","66.10"
"216","Mark Scheifele","WPG","C","67","1084.5333333333","17","21","12","9","38","69.09"
"316","Tyler Bertuzzi","DET","L","68","1018.3333333333","18","20","10","10","38","71.70"
"320","Aleksander Barkov","FLA","C","67","884.73333333333","15","23","14","9","38","70.37"
"411","Sebastian Aho","CAR","C, R","79","999.9","15","23","15","8","38","73.08"
"536","Nico Hischier","N.J","C","70","958.53333333333","13","25","16","9","38","80.85"
"588","Andrei Svechnikov","CAR","R","78","1030.8","16","22","15","7","38","69.09"
"105","Cam Atkinson","PHI","R","73","924.03333333333","16","21","17","4","37","74.00"
"117","Victor Hedman","T.B","D","82","1470.45","11","26","11","15","37","48.05"
"144","Erik Haula","BOS","L","78","991.65","15","22","12","10","37","71.15"
"158","Evgeny Kuznetsov","WSH","C","79","1118.1","13","24","14","10","37","66.07"
"180","Nino Niederreiter","CAR","R","75","979.11666666667","18","19","11","8","37","62.71"
"239","Brady Skjei","CAR","D","82","1436.2333333333","9","28","16","12","37","51.39"
"395","Andrew Mangiapane","CGY","L","82","989.93333333333","23","14","8","6","37","75.51"
"421","Roope Hintz","DAL","C, L","80","1059.4","24","13","11","2","37","61.67"
"55","Alex Killorn","T.B","C, L","82","1044.35","14","22","12","10","36","75.00"
"162","Justin Faulk","STL","D","76","1425.6166666667","13","23","7","16","36","39.56"
"163","Brock Nelson","NYI","C","72","970.01666666667","21","15","11","4","36","75.00"
"173","Zach Hyman","EDM","C, L","76","1098.0333333333","19","17","13","4","36","76.60"
"228","Jonathan Marchessault","VGK","C","76","1097.7","18","18","14","4","36","76.60"
"236","Morgan Rielly","TOR","D","82","1474.5166666667","7","29","17","12","36","40.00"
"328","Valeri Nichushkin","COL","R","62","866.43333333333","15","21","13","8","36","67.92"
"33","Kris Letang","PIT","D","78","1505.6","6","29","18","11","35","49.30"
"209","Nikita Kucherov","T.B","R","47","704.93333333333","14","21","14","7","35","70.00"
"379","Viktor Arvidsson","L.A","L","66","892.08333333333","12","23","15","8","35","76.09"
"420","Mathew Barzal","NYI","C","73","1040.5333333333","12","23","13","10","35","77.78"
"424","Jack Roslovic","CBJ","C","81","939.55","17","18","12","6","35","72.92"
"28","Anze Kopitar","L.A","C","81","1179.4166666667","12","22","14","8","34","73.91"
"49","Claude Giroux","FLA, PHI","C, R","75","1034.2833333333","13","21","9","12","34","72.34"
"214","Ryan Strome","NYR","C","74","1039.7833333333","11","23","13","10","34","61.82"
"343","Frederick Gaudreau","MIN","C","76","905.81666666667","12","22","11","11","34","69.39"
"474","Patrik Laine","CBJ","L","56","805.88333333333","14","20","10","10","34","80.95"
"520","Trevor Moore","L.A","C","81","1029.8333333333","8","26","16","10","34","72.34"
"542","Nick Suzuki","MTL","C","82","1209.7666666667","9","25","12","13","34","72.34"
"629","Lucas Raymond","DET","L","82","1172.2666666667","16","18","8","10","34","65.38"
"13","Patrice Bergeron","BOS","C","73","891.18333333333","14","19","10","9","33","67.35"
"52","Phil Kessel","ARI","C, R","82","1077.75","5","28","15","13","33","66.00"
"190","Ondrej Palat","T.B","L","77","1016.1166666667","14","19","11","8","33","62.26"
"233","Yanni Gourde","SEA","C","74","1028.3833333333","14","19","16","3","33","78.57"
"299","Anthony Duclair","FLA","L","74","879.83333333333","18","15","13","2","33","57.89"
"378","Devon Toews","COL","D","66","1291.5166666667","7","26","7","19","33","41.77"
"498","Pierre-Luc Dubois","WPG","L","81","1190.35","9","24","14","10","33","62.26"
"20","Blake Wheeler","WPG","R","65","973.2","12","20","14","6","32","74.42"
"25","Paul Stastny","WPG","C","71","987.8","14","18","11","7","32","60.38"
"91","Jordan Eberle","SEA","C, R","79","1114.2666666667","16","16","9","7","32","68.09"
"113","Ryan O'Reilly","STL","C","78","1053.0833333333","9","23","14","9","32","69.57"
"127","Chris Kreider","NYR","L","81","1075.3666666667","20","12","7","5","32","65.31"
"136","Craig Smith","BOS","C","74","920.4","16","16","11","5","32","72.73"
"211","Gabriel Landeskog","COL","L","51","767.85","16","16","10","6","32","66.67"
"257","Shayne Gostisbehere","ARI","D","82","1420.55","12","20","8","12","32","55.17"
"287","Andreas Johnsson","N.J","L","71","909.18333333333","11","21","18","3","32","61.54"
"301","Oliver Bjorkstrand","CBJ","R","80","1098.45","16","16","13","3","32","78.05"
"303","Andrew Copp","NYR, WPG","C","72","991.81666666667","14","18","8","10","32","69.57"
"337","Conor Sheary","WSH","L","71","893.6","14","18","10","8","32","82.05"
"349","Sam Bennett","FLA","C","71","930.06666666667","19","13","10","3","32","55.17"
"388","Victor Olofsson","BUF","L","72","902.18333333333","10","22","14","8","32","80.00"
"417","Dylan Strome","CHI","C","69","977.86666666667","17","15","9","6","32","69.57"
"467","Adam Fox","NYR","D","78","1367.9666666667","8","24","11","13","32","51.61"
"551","Martin Necas","CAR","C","78","973.08333333333","10","22","15","7","32","68.09"
"601","Yegor Sharangovich","N.J","C","76","1023.1833333333","16","16","11","5","32","59.26"
"617","Jack Hughes","N.J","C","49","749.96666666667","16","16","10","6","32","74.42"
"630","Seth Jarvis","CAR","C","68","821.05","14","18","10","8","32","66.67"
"632","Dawson Mercer","N.J","C","82","1124.9","14","18","16","2","32","55.17"
"71","Evgenii Dadonov","VGK","R","78","1006.05","12","19","15","4","31","62.00"
"120","Brayden Schenn","STL","C","62","865.76666666667","13","18","13","5","31","64.58"
"197","Vincent Trocheck","CAR","C","81","992.21666666667","11","20","9","11","31","64.58"
"314","Artturi Lehkonen","COL, MTL","L","74","869.35","14","17","12","5","31","83.78"
"329","Max Domi","CAR, CBJ","C","72","828.33333333333","9","22","15","7","31","67.39"
"438","Jake DeBrusk","BOS","L","77","952.43333333333","17","14","8","6","31","77.50"
"513","Ross Colton","T.B","C","79","864.23333333333","20","11","7","4","31","81.58"
"519","Tanner Jeannot","NSH","L","81","993.45","17","14","8","6","31","77.50"
"581","Evan Bouchard","EDM","D","81","1306.1333333333","9","22","10","12","31","50.00"
"87","Josh Bailey","NYI","C, R","74","988.15","12","18","11","7","30","71.43"
"101","Gustav Nyquist","CBJ","C","82","1097.0666666667","9","21","14","7","30","50.85"
"200","Blake Coleman","CGY","C","81","1025.6","15","15","8","7","30","71.43"
"204","Boone Jenner","CBJ","C","59","876.75","14","16","8","8","30","69.77"
"246","Tom Wilson","WSH","R","78","1061.6333333333","14","16","7","9","30","52.63"
"371","Ryan Donato","SEA","C","74","862.36666666667","15","15","11","4","30","75.00"
"375","Brayden Point","T.B","C","66","953.8","15","15","10","5","30","52.63"
"510","Rem Pitlick","MIN, MTL","C","66","799.3","12","18","11","7","30","68.18"
"633","Anton Lundell","FLA","C","65","790.1","13","17","10","7","30","52.63"
"72","Mikael Backlund","CGY","C","82","1063.1833333333","10","19","14","5","29","60.42"
"75","Jakub Voracek","CBJ","R","79","1050.0666666667","2","27","24","3","29","63.04"
"135","Marcus Foligno","MIN","L","74","892.6","14","15","12","3","29","63.04"
"176","Ryan Johansen","NSH","C","79","940.11666666667","11","18","4","14","29","59.18"
"177","Tyler Seguin","DAL","C","81","1129.8833333333","17","12","10","2","29","78.38"
"179","Mikael Granlund","NSH","C","80","1104.5166666667","7","22","12","10","29","55.77"
"192","Travis Boyd","ARI","C","74","997.21666666667","14","15","9","6","29","54.72"
"206","Brandon Saad","STL","L","78","1024.5","13","16","9","7","29","63.04"
"226","Rickard Rakell","ANA, PIT","L, R","70","1027.6","14","15","8","7","29","53.70"
"249","Jacob Trouba","NYR","D","81","1463.0333333333","8","21","12","9","29","43.94"
"269","Jaccob Slavin","CAR","D","79","1386.35","3","26","10","16","29","39.19"
"288","MacKenzie Weegar","FLA","D","80","1488.0833333333","5","24","13","11","29","33.33"
"307","Shea Theodore","VGK","D","78","1484.05","7","22","12","10","29","43.28"
"346","Aaron Ekblad","FLA","D","61","1050.9166666667","10","19","5","14","29","43.28"
"363","Jared McCann","SEA","C, L","74","917.18333333333","17","12","7","5","29","78.38"
"381","Danton Heinen","PIT","L","76","865.33333333333","15","14","10","4","29","64.44"
"397","Noah Hanifin","CGY","D","81","1353.5","8","21","5","16","29","39.19"
"444","Evan Rodrigues","PIT","C","82","1056.95","9","20","12","8","29","65.91"
"526","Kailer Yamamoto","EDM","R","81","1174.55","14","15","9","6","29","53.70"
"540","Elias Pettersson","VAN","C","80","1089.0833333333","16","13","6","7","29","69.05"
"571","Pius Suter","DET","C","82","1066.8833333333","14","15","9","6","29","69.05"
"576","Joel Farabee","PHI","L","63","802.35","14","15","9","6","29","67.44"
"616","Matt Boldy","MIN","L","47","580.05","12","17","10","7","29","69.05"
"44","Kyle Okposo","BUF","R","74","956.11666666667","11","17","7","10","28","84.85"
"50","Jordan Staal","CAR","C","78","987.61666666667","13","15","7","8","28","60.87"
"62","James van Riemsdyk","PHI","L","82","1049.4833333333","15","13","7","6","28","68.29"
"99","Adam Henrique","ANA","C","58","824.01666666667","11","17","10","7","28","63.64"
"145","Anders Lee","NYI","C, L","76","1015.8","17","11","4","7","28","53.85"
"181","Bryan Rust","PIT","R","60","817.75","10","18","11","7","28","66.67"
"243","Mike Matheson","PIT","D","74","1264.5833333333","11","17","8","9","28","43.75"
"396","Frank Vatrano","FLA, NYR","C","71","853.65","15","13","10","3","28","77.78"
"426","Nicolas Roy","VGK","C","78","982.81666666667","13","15","12","3","28","57.14"
"514","Brandon Hagel","CHI, T.B","L","77","988.85","16","12","9","3","28","66.67"
"553","Josh Norris","OTT","C","66","900.25","16","12","6","6","28","62.22"
"637","Alexander Barabanov","S.J","L","70","1016.2333333333","6","22","13","9","28","60.87"
"9","Brent Burns","S.J","D","82","1567.15","6","21","10","11","27","39.71"
"54","Jonathan Toews","CHI","C","71","883.21666666667","7","20","13","7","27","65.85"
"68","David Perron","STL","L","67","909.31666666667","12","15","6","9","27","79.41"
"129","Reilly Smith","VGK","R","56","739.9","11","16","9","7","27","77.14"
"159","Charlie Coyle","BOS","C","82","1026.95","10","17","11","6","27","62.79"
"253","Colton Parayko","STL","D","80","1595.0333333333","4","23","7","16","27","33.75"
"302","Nicholas Paul","OTT, T.B","L","80","1065.85","13","14","4","10","27","72.97"
"322","Seth Jones","CHI","D","78","1525.3333333333","5","22","7","15","27","52.94"
"357","Travis Sanheim","PHI","D","80","1531.4333333333","6","21","11","10","27","34.62"
"370","Brandon Montour","FLA","D","81","1237.2833333333","9","18","6","12","27","39.13"
"384","Gustav Forsling","FLA","D","71","1241.2666666667","8","19","10","9","27","35.53"
"578","Quinn Hughes","VAN","D","76","1444.25","7","20","12","8","27","45.00"
"589","Rasmus Dahlin","BUF","D","80","1517.7333333333","9","18","10","8","27","45.76"
"625","Alex Newhook","COL","C","71","841.98333333333","10","17","9","8","27","79.41"
"631","Alexis Lafrenière","NYR","L","79","976.83333333333","18","9","4","5","27","69.23"
"5","Jeff Carter","PIT","C","76","996.46666666667","11","15","7","8","26","68.42"
"11","Corey Perry","T.B","R","82","931.6","8","18","14","4","26","70.27"
"93","John Carlson","WSH","D","78","1296.1833333333","5","21","14","7","26","44.07"
"112","Kyle Palmieri","NYI","C, R","69","901.7","13","13","7","6","26","59.09"
"132","Dmitry Orlov","WSH","D","76","1387.6333333333","9","17","12","5","26","40.63"
"186","Jesper Fast","CAR","R","82","1032.7","12","14","10","4","26","49.06"
"240","Tanner Pearson","VAN","L","68","898.8","11","15","7","8","26","63.41"
"263","Damon Severson","N.J","D","80","1393.7166666667","6","20","11","9","26","44.83"
"272","Josh Anderson","MTL","R","69","998.58333333333","14","12","6","6","26","66.67"
"275","Connor Brown","OTT","R","64","911.85","9","17","11","6","26","70.27"
"331","Alex Wennberg","SEA","C","80","1116.3333333333","8","18","11","7","26","65.00"
"389","Pierre Engvall","TOR","L","78","892.85","10","16","11","5","26","78.79"
"443","Anthony Cirelli","T.B","C","76","1036.4166666667","10","16","11","5","26","57.78"
"502","Mikhail Sergachev","T.B","D","78","1378.4333333333","5","21","11","10","26","41.27"
"567","Drake Batherson","OTT","R","46","667.26666666667","12","14","9","5","26","74.29"
